,imageName,imageOrigin,xBudCenter,yBudCenter,radio,class,type
1,/home/wences/Documents/corpus-26000/corpus-26000-bc/0032.jpg,0002.jpg,2169,1661,77,True,1
2,/home/wences/Documents/corpus-26000/corpus-26000-bc/0056.jpg,0003.jpg,2340,1828,124,True,2
3,/home/wences/Documents/corpus-26000/corpus-26000-bc/0121.jpg,0004.jpg,2280,1540,90,True,2
4,/home/wences/Documents/corpus-26000/corpus-26000-bc/0163.jpg,0005.jpg,2144,1840,146,True,1
5,/home/wences/Documents/corpus-26000/corpus-26000-bc/0189.jpg,0006.jpg,2356,1932,124,True,1
6,/home/wences/Documents/corpus-26000/corpus-26000-bc/0208.jpg,0007.jpg,2428,1572,124,True,1
9,/home/wences/Documents/corpus-26000/corpus-26000-bc/0244.jpg,0009.jpg,2324,1108,114,True,1
11,/home/wences/Documents/corpus-26000/corpus-26000-bc/0366.jpg,0011.jpg,2476,1576,106,True,1
12,/home/wences/Documents/corpus-26000/corpus-26000-bc/0417.jpg,0012.jpg,2232,1600,100,True,1
13,/home/wences/Documents/corpus-26000/corpus-26000-bc/0463.jpg,0013.jpg,2028,1264,104,True,1
14,/home/wences/Documents/corpus-26000/corpus-26000-bc/0493.jpg,0014.jpg,2186,1935,119,True,1
16,/home/wences/Documents/corpus-26000/corpus-26000-bc/0535.jpg,0016.jpg,2228,1804,142,True,2
17,/home/wences/Documents/corpus-26000/corpus-26000-bc/0560.jpg,0017.jpg,2143,1825,100,True,1
19,/home/wences/Documents/corpus-26000/corpus-26000-bc/0626.jpg,0019.jpg,2649,1805,126,True,1
20,/home/wences/Documents/corpus-26000/corpus-26000-bc/0643.jpg,0020.jpg,1988,1862,112,True,1
22,/home/wences/Documents/corpus-26000/corpus-26000-bc/0676.jpg,0022.jpg,2326,1680,110,True,3
23,/home/wences/Documents/corpus-26000/corpus-26000-bc/0721.jpg,0023.jpg,1997,1721,107,True,1
24,/home/wences/Documents/corpus-26000/corpus-26000-bc/0752.jpg,0024.jpg,2569,1803,132,True,1
26,/home/wences/Documents/corpus-26000/corpus-26000-bc/0794.jpg,0026.jpg,2143,1697,121,True,1
27,/home/wences/Documents/corpus-26000/corpus-26000-bc/0807.jpg,0027.jpg,2172,1344,92,True,1
28,/home/wences/Documents/corpus-26000/corpus-26000-bc/0827.jpg,0028.jpg,2404,1697,90,True,1
29,/home/wences/Documents/corpus-26000/corpus-26000-bc/0864.jpg,0029.jpg,2413,1615,76,True,1
30,/home/wences/Documents/corpus-26000/corpus-26000-bc/0997.jpg,0030.jpg,2216,1812,84,True,1
31,/home/wences/Documents/corpus-26000/corpus-26000-bc/1161.jpg,0031.jpg,1910,1679,92,True,2
32,/home/wences/Documents/corpus-26000/corpus-26000-bc/1198.jpg,0032.jpg,2580,1782,72,True,2
33,/home/wences/Documents/corpus-26000/corpus-26000-bc/1260.jpg,0033.jpg,2561,1335,107,True,1
34,/home/wences/Documents/corpus-26000/corpus-26000-bc/1276.jpg,0034.jpg,2390,1739,85,True,1
35,/home/wences/Documents/corpus-26000/corpus-26000-bc/1298.jpg,0035.jpg,2624,1847,143,True,1
38,/home/wences/Documents/corpus-26000/corpus-26000-bc/1379.jpg,0038.jpg,2074,1879,110,True,1
39,/home/wences/Documents/corpus-26000/corpus-26000-bc/1431.jpg,0039.jpg,2824,1323,124,True,1
40,/home/wences/Documents/corpus-26000/corpus-26000-bc/1513.jpg,0040.jpg,2071,1986,130,True,1
41,/home/wences/Documents/corpus-26000/corpus-26000-bc/1575.jpg,0041.jpg,2798,1721,98,True,1
42,/home/wences/Documents/corpus-26000/corpus-26000-bc/1614.jpg,0042.jpg,2649,1951,126,True,1
44,/home/wences/Documents/corpus-26000/corpus-26000-bc/1639.jpg,0044.jpg,2328,1767,114,True,1
45,/home/wences/Documents/corpus-26000/corpus-26000-bc/1647.jpg,0045.jpg,2367,2170,143,True,1
46,/home/wences/Documents/corpus-26000/corpus-26000-bc/1661.jpg,0046.jpg,2170,1810,104,True,1
47,/home/wences/Documents/corpus-26000/corpus-26000-bc/1685.jpg,0047.jpg,2000,1692,138,True,1
48,/home/wences/Documents/corpus-26000/corpus-26000-bc/1729.jpg,0048.jpg,2312,1415,113,True,1
50,/home/wences/Documents/corpus-26000/corpus-26000-bc/1834.jpg,0050.jpg,2385,1470,79,True,1
51,/home/wences/Documents/corpus-26000/corpus-26000-bc/1904.jpg,0051.jpg,1882,1715,106,True,1
53,/home/wences/Documents/corpus-26000/corpus-26000-bc/1952.jpg,0053.jpg,2112,1238,88,True,1
54,/home/wences/Documents/corpus-26000/corpus-26000-bc/1971.jpg,0054.jpg,2455,1756,142,True,2
55,/home/wences/Documents/corpus-26000/corpus-26000-bc/1986.jpg,0055.jpg,2356,1436,119,True,1
56,/home/wences/Documents/corpus-26000/corpus-26000-bc/2004.jpg,0056.jpg,2446,1725,112,True,2
57,/home/wences/Documents/corpus-26000/corpus-26000-bc/2021.jpg,0057.jpg,2499,1479,106,True,1
60,/home/wences/Documents/corpus-26000/corpus-26000-bc/2124.jpg,0060.jpg,2644,1726,112,True,1
64,/home/wences/Documents/corpus-26000/corpus-26000-bc/2321.jpg,0064.jpg,2201,1736,121,True,1
65,/home/wences/Documents/corpus-26000/corpus-26000-bc/2362.jpg,0065.jpg,1903,1468,88,True,1
66,/home/wences/Documents/corpus-26000/corpus-26000-bc/2390.jpg,0066.jpg,2061,1914,59,True,2
69,/home/wences/Documents/corpus-26000/corpus-26000-bc/2464.jpg,0069.jpg,1906,1556,111,True,1
72,/home/wences/Documents/corpus-26000/corpus-26000-bc/2593.jpg,0072.jpg,2403,2063,109,True,1
73,/home/wences/Documents/corpus-26000/corpus-26000-bc/2638.jpg,0073.jpg,1886,1964,115,True,1
74,/home/wences/Documents/corpus-26000/corpus-26000-bc/2696.jpg,0074.jpg,2166,1631,108,True,1
75,/home/wences/Documents/corpus-26000/corpus-26000-bc/2749.jpg,0075.jpg,2363,1515,110,True,3
77,/home/wences/Documents/corpus-26000/corpus-26000-bc/2801.jpg,0077.jpg,1980,1761,80,True,1
79,/home/wences/Documents/corpus-26000/corpus-26000-bc/2856.jpg,0079.jpg,2370,1654,96,True,1
80,/home/wences/Documents/corpus-26000/corpus-26000-bc/2914.jpg,0080.jpg,2273,1614,102,True,1
81,/home/wences/Documents/corpus-26000/corpus-26000-bc/2954.jpg,0081.jpg,2648,1472,178,True,1
82,/home/wences/Documents/corpus-26000/corpus-26000-bc/2967.jpg,0082.jpg,2506,1941,106,True,2
85,/home/wences/Documents/corpus-26000/corpus-26000-bc/3064.jpg,0085.jpg,2366,1379,112,True,2
88,/home/wences/Documents/corpus-26000/corpus-26000-bc/3111.jpg,0088.jpg,2314,1754,122,True,1
89,/home/wences/Documents/corpus-26000/corpus-26000-bc/3130.jpg,0089.jpg,2326,1735,131,True,1
90,/home/wences/Documents/corpus-26000/corpus-26000-bc/3190.jpg,0090.jpg,2099,2030,101,True,1
91,/home/wences/Documents/corpus-26000/corpus-26000-bc/3281.jpg,0091.jpg,2783,1262,204,True,1
92,/home/wences/Documents/corpus-26000/corpus-26000-bc/3302.jpg,0092.jpg,2454,1834,121,True,1
93,/home/wences/Documents/corpus-26000/corpus-26000-bc/3321.jpg,0093.jpg,2508,1637,122,True,1
95,/home/wences/Documents/corpus-26000/corpus-26000-bc/3404.jpg,0095.jpg,2417,1884,62,True,2
96,/home/wences/Documents/corpus-26000/corpus-26000-bc/3509.jpg,0096.jpg,2355,1670,57,True,3
97,/home/wences/Documents/corpus-26000/corpus-26000-bc/3539.jpg,0097.jpg,2437,1578,88,True,1
98,/home/wences/Documents/corpus-26000/corpus-26000-bc/3566.jpg,0098.jpg,2337,1791,66,True,1
99,/home/wences/Documents/corpus-26000/corpus-26000-bc/3619.jpg,0099.jpg,2579,1700,88,True,2
100,/home/wences/Documents/corpus-26000/corpus-26000-bc/3711.jpg,0100.jpg,2267,1703,66,True,1
101,/home/wences/Documents/corpus-26000/corpus-26000-bc/3723.jpg,0101.jpg,2880,1841,111,True,1
102,/home/wences/Documents/corpus-26000/corpus-26000-bc/3733.jpg,0102.jpg,2579,1977,120,True,2
104,/home/wences/Documents/corpus-26000/corpus-26000-bc/3764.jpg,0104.jpg,2779,1836,129,True,3
105,/home/wences/Documents/corpus-26000/corpus-26000-bc/3851.jpg,0105.jpg,2764,1853,123,True,2
107,/home/wences/Documents/corpus-26000/corpus-26000-bc/3941.jpg,0107.jpg,2551,1817,130,True,2
108,/home/wences/Documents/corpus-26000/corpus-26000-bc/3977.jpg,0108.jpg,2678,1820,117,True,2
109,/home/wences/Documents/corpus-26000/corpus-26000-bc/4033.jpg,0109.jpg,2855,1700,120,True,2
111,/home/wences/Documents/corpus-26000/corpus-26000-bc/4071.jpg,0111.jpg,2864,1930,147,True,1
112,/home/wences/Documents/corpus-26000/corpus-26000-bc/4130.jpg,0112.jpg,2821,1800,162,True,2
114,/home/wences/Documents/corpus-26000/corpus-26000-bc/4215.jpg,0114.jpg,2847,1966,164,True,2
115,/home/wences/Documents/corpus-26000/corpus-26000-bc/4261.jpg,0115.jpg,2736,1808,144,True,2
116,/home/wences/Documents/corpus-26000/corpus-26000-bc/4276.jpg,0116.jpg,2957,1807,154,True,1
117,/home/wences/Documents/corpus-26000/corpus-26000-bc/4309.jpg,0117.jpg,2888,1826,198,True,1
118,/home/wences/Documents/corpus-26000/corpus-26000-bc/4325.jpg,0118.jpg,3043,1718,174,True,1
123,/home/wences/Documents/corpus-26000/corpus-26000-bc/4466.jpg,0123.jpg,2816,1890,170,True,2
124,/home/wences/Documents/corpus-26000/corpus-26000-bc/4499.jpg,0124.jpg,2996,2183,186,True,2
125,/home/wences/Documents/corpus-26000/corpus-26000-bc/4546.jpg,0125.jpg,2843,1826,152,True,2
126,/home/wences/Documents/corpus-26000/corpus-26000-bc/4572.jpg,0126.jpg,3014,1899,137,True,1
127,/home/wences/Documents/corpus-26000/corpus-26000-bc/4605.jpg,0127.jpg,2746,1948,133,True,1
128,/home/wences/Documents/corpus-26000/corpus-26000-bc/4626.jpg,0128.jpg,2693,1596,136,True,2
129,/home/wences/Documents/corpus-26000/corpus-26000-bc/4680.jpg,0129.jpg,2772,1948,139,True,1
130,/home/wences/Documents/corpus-26000/corpus-26000-bc/4721.jpg,0130.jpg,2609,1907,149,True,2
131,/home/wences/Documents/corpus-26000/corpus-26000-bc/4741.jpg,0131.jpg,2809,1862,121,True,2
132,/home/wences/Documents/corpus-26000/corpus-26000-bc/4769.jpg,0132.jpg,2615,1763,131,True,2
133,/home/wences/Documents/corpus-26000/corpus-26000-bc/4812.jpg,0133.jpg,2808,1711,130,True,2
135,/home/wences/Documents/corpus-26000/corpus-26000-bc/4851.jpg,0135.jpg,2788,1967,135,True,2
137,/home/wences/Documents/corpus-26000/corpus-26000-bc/4936.jpg,0137.jpg,2713,1905,170,True,1
138,/home/wences/Documents/corpus-26000/corpus-26000-bc/4955.jpg,0138.jpg,3098,1743,137,True,1
139,/home/wences/Documents/corpus-26000/corpus-26000-bc/4998.jpg,0139.jpg,2843,1934,150,True,2
140,/home/wences/Documents/corpus-26000/corpus-26000-bc/5013.jpg,0140.jpg,2823,1984,147,True,2
142,/home/wences/Documents/corpus-26000/corpus-26000-bc/5061.jpg,0142.jpg,2372,1773,138,True,2
143,/home/wences/Documents/corpus-26000/corpus-26000-bc/5097.jpg,0143.jpg,2815,1848,143,True,2
144,/home/wences/Documents/corpus-26000/corpus-26000-bc/5130.jpg,0144.jpg,3055,1846,162,True,2
145,/home/wences/Documents/corpus-26000/corpus-26000-bc/5170.jpg,0145.jpg,2608,1879,161,True,2
146,/home/wences/Documents/corpus-26000/corpus-26000-bc/5194.jpg,0146.jpg,3067,1710,165,True,2
147,/home/wences/Documents/corpus-26000/corpus-26000-bc/5221.jpg,0147.jpg,2862,1830,146,True,2
148,/home/wences/Documents/corpus-26000/corpus-26000-bc/5239.jpg,0148.jpg,2623,1881,140,True,1
149,/home/wences/Documents/corpus-26000/corpus-26000-bc/5258.jpg,0149.jpg,2698,1923,112,True,2
151,/home/wences/Documents/corpus-26000/corpus-26000-bc/5288.jpg,0151.jpg,2784,1818,139,True,1
152,/home/wences/Documents/corpus-26000/corpus-26000-bc/5312.jpg,0152.jpg,2888,1869,164,True,1
153,/home/wences/Documents/corpus-26000/corpus-26000-bc/5334.jpg,0153.jpg,2877,1823,117,True,2
154,/home/wences/Documents/corpus-26000/corpus-26000-bc/5347.jpg,0154.jpg,2546,1972,114,True,2
155,/home/wences/Documents/corpus-26000/corpus-26000-bc/5366.jpg,0155.jpg,2762,1918,137,True,2
156,/home/wences/Documents/corpus-26000/corpus-26000-bc/5400.jpg,0156.jpg,2802,1948,160,True,2
157,/home/wences/Documents/corpus-26000/corpus-26000-bc/5441.jpg,0157.jpg,2787,1742,124,True,1
158,/home/wences/Documents/corpus-26000/corpus-26000-bc/5460.jpg,0158.jpg,2684,1758,145,True,2
